RecipeID,RecipeName,Cuisine,Category,CookingTime,Budget,Rating
50,Chicken Satay,Indonesian,Appetizers,30,250,4.6
51,Gado Gado,Indonesian,Snacks,25,180,4.5
52,Beef Rendang,Indonesian,Main Course,90,380,4.8
53,Bakso Soup,Indonesian,Appetizers,40,220,4.5
54,Es Cendol,Indonesian,Beverages,15,120,4.6
55,Bibimbap,Korean,Main Course,40,300,4.8
56,Kimchi Fried Rice,Korean,Main Course,25,240,4.7
57,Korean Fried Chicken,Korean,Appetizers,45,320,4.8
58,Tteokbokki,Korean,Snacks,25,200,4.6
59,Japchae,Korean,Main Course,35,270,4.7
60,Bingsu,Korean,Desserts,20,220,4.7
61,Beef Pho,Vietnamese,Main Course,90,320,4.8
62,Banh Mi,Vietnamese,Snacks,25,180,4.7
63,Vietnamese Spring Rolls,Vietnamese,Appetizers,25,190,4.6
64,Vietnamese Iced Coffee,Vietnamese,Beverages,10,110,4.7
65,Pho Ga,Vietnamese,Main Course,80,300,4.7
66,Cao Lau,Vietnamese,Main Course,50,280,4.6
67,Chicken Shawarma,Middle Eastern,Main Course,40,260,4.8
68,Falafel,Middle Eastern,Snacks,35,160,4.7
69,Hummus,Middle Eastern,Appetizers,15,140,4.7
70,Tabbouleh,Middle Eastern,Appetizers,20,150,4.6
71,Baklava,Middle Eastern,Desserts,45,220,4.8
72,Mint Lemonade,Middle Eastern,Beverages,10,100,4.6
73,Greek Salad,Greek,Appetizers,15,180,4.7
74,Moussaka,Greek,Main Course,70,320,4.8
75,Souvlaki,Greek,Main Course,35,280,4.7
76,Tzatziki,Greek,Appetizers,15,140,4.6
77,Spanakopita,Greek,Snacks,40,210,4.7
78,Greek Yogurt Parfait,Greek,Breakfast,10,160,4.6
79,Paella,Spanish,Main Course,60,420,4.8
80,Tortilla Espanola,Spanish,Breakfast,35,230,4.7
81,Patatas Bravas,Spanish,Snacks,30,180,4.6
82,Gazpacho,Spanish,Appetizers,20,160,4.5
83,Churros con Chocolate,Spanish,Desserts,30,180,4.7
84,Sangria Mocktail,Spanish,Beverages,10,130,4.5
85,Croissant,French,Breakfast,30,180,4.8
86,Ratatouille,French,Main Course,55,260,4.7
87,Quiche Lorraine,French,Main Course,50,300,4.7
88,French Onion Soup,French,Appetizers,50,220,4.6
89,Crepes,French,Desserts,25,190,4.7
90,Hot Chocolate,French,Beverages,10,140,4.6
91,Peking Duck,Chinese,Main Course,120,650,4.9
92,Dim Sum,Chinese,Appetizers,45,280,4.8
93,Wonton Soup,Chinese,Appetizers,35,220,4.6
94,Szechuan Chicken,Chinese,Main Course,35,300,4.7
95,Egg Fried Rice,Chinese,Main Course,20,160,4.6
96,Pasta Primavera,Italian,Main Course,30,230,4.6
97,Fettuccine Alfredo,Italian,Main Course,30,260,4.7
98,Pesto Pasta,Italian,Main Course,25,240,4.7
99,Cannoli,Italian,Desserts,45,240,4.8
100,Affogato,Italian,Desserts,10,160,4.7
101,Mac and Cheese,American,Main Course,25,190,4.7
102,Club Sandwich,American,Snacks,20,210,4.6
103,Coleslaw,American,Appetizers,15,120,4.4
104,Apple Pie,American,Desserts,55,220,4.8
105,Banana Smoothie,American,Beverages,10,110,4.6
106,Enchiladas,Mexican,Main Course,45,260,4.7
107,Fajitas,Mexican,Main Course,35,280,4.8
108,Mexican Rice,Mexican,Main Course,30,170,4.5
109,Elote,Mexican,Snacks,20,140,4.6
110,Tres Leches Cake,Mexican,Desserts,60,260,4.8
111,Onigiri,Japanese,Snacks,25,180,4.6
112,Yakitori,Japanese,Appetizers,30,250,4.7
113,Okonomiyaki,Japanese,Main Course,35,260,4.7
114,Udon Noodles,Japanese,Main Course,30,270,4.6
115,Mochi,Japanese,Desserts,40,200,4.7
116,Thai Basil Chicken,Thai,Main Course,30,260,4.7
117,Massaman Curry,Thai,Main Course,50,320,4.8
118,Som Tam,Thai,Appetizers,20,190,4.6
119,Thai Coconut Soup,Thai,Appetizers,30,230,4.7
120,Coconut Ice Cream,Thai,Desserts,25,180,4.6
121,Ayam Goreng,Indonesian,Main Course,45,260,4.7
122,Mie Goreng,Indonesian,Main Course,30,230,4.7
123,Martabak,Indonesian,Snacks,40,210,4.6
124,Soto Ayam,Indonesian,Appetizers,45,220,4.7
125,Pisang Goreng,Indonesian,Desserts,25,140,4.6
126,Kimchi Pancake,Korean,Snacks,25,180,4.6
127,Bulgogi,Korean,Main Course,45,340,4.8
128,Korean Rice Cake Soup,Korean,Appetizers,40,240,4.6
129,Hotteok,Korean,Desserts,25,160,4.7
130,Yuja Tea,Korean,Beverages,10,120,4.5
131,Moussaka with Vegetables,Greek,Main Course,65,300,4.6
132,Greek Lemon Chicken,Greek,Main Course,50,310,4.7
133,Dolmades,Greek,Appetizers,45,220,4.6
134,Loukoumades,Greek,Desserts,30,170,4.7
135,Greek Frappé,Greek,Beverages,10,110,4.5
136,Seafood Paella,Spanish,Main Course,65,480,4.8
137,Spanish Omelette,Spanish,Breakfast,35,220,4.7
138,Croquetas,Spanish,Snacks,40,200,4.6
139,Flan,Spanish,Desserts,50,180,4.7
140,Horchata,Spanish,Beverages,15,120,4.5
141,Coq au Vin,French,Main Course,100,420,4.8
142,Beef Bourguignon,French,Main Course,120,480,4.9
143,French Crepe,French,Breakfast,25,170,4.6
144,Madeleines,French,Desserts,30,180,4.7
145,Lemon Tart,French,Desserts,50,230,4.8
146,Butter Chicken,Indian,Main Course,45,320,4.9
147,Poha,Indian,Breakfast,20,90,4.6
148,Pakora,Indian,Snacks,25,100,4.5
149,Rasmalai,Indian,Desserts,40,180,4.8
150,Masala Chai,Indian,Beverages,10,70,4.7
151,Prawn Curry,Indian,Main Course,45,340,4.7
152,Chow Mein,Chinese,Main Course,30,200,4.6
153,Dan Dan Noodles,Chinese,Main Course,35,250,4.7
154,Egg Tart,Chinese,Desserts,35,180,4.6
155,Jiaozi,Chinese,Appetizers,45,240,4.7
156,Carbonara,Italian,Main Course,25,250,4.8
157,Gnocchi,Italian,Main Course,40,270,4.7
158,Panna Cotta,Italian,Desserts,30,220,4.8
159,Arancini,Italian,Snacks,45,230,4.6
160,Clam Chowder,American,Appetizers,40,280,4.7
161,Grilled Cheese Sandwich,American,Snacks,15,140,4.6
162,Cheesecake,American,Desserts,60,250,4.8
163,Lemonade,American,Beverages,10,80,4.5
164,Tostadas,Mexican,Snacks,25,180,4.6
165,Mexican Hot Chocolate,Mexican,Beverages,15,120,4.6
166,Sashimi,Japanese,Main Course,20,450,4.8
167,Takoyaki,Japanese,Snacks,30,260,4.7
168,Dorayaki,Japanese,Desserts,30,180,4.6
169,Yakisoba,Japanese,Main Course,25,240,4.7
170,Red Curry,Thai,Main Course,40,290,4.7
171,Pineapple Fried Rice,Thai,Main Course,30,250,4.7
172,Thai Fish Cakes,Thai,Appetizers,30,230,4.6
173,Klepon,Indonesian,Desserts,30,150,4.6
174,Lumpia,Indonesian,Snacks,30,160,4.6
175,Gimbap,Korean,Snacks,35,230,4.7
176,Samgyeopsal,Korean,Main Course,40,360,4.7
177,Kimchi Soup,Korean,Appetizers,30,210,4.6
178,Fresh Spring Rolls,Vietnamese,Appetizers,25,190,4.6
179,Caramelized Pork,Vietnamese,Main Course,50,280,4.7
180,Bun Cha,Vietnamese,Main Course,40,270,4.7
181,Manakish,Middle Eastern,Breakfast,30,180,4.7
182,Kofta,Middle Eastern,Main Course,45,280,4.7
183,Fattoush,Middle Eastern,Appetizers,20,150,4.6
184,Maamoul,Middle Eastern,Desserts,45,200,4.7
185,Pita Bread,Middle Eastern,Snacks,35,120,4.6
