RecipeID,Ingredient
15,Oil
16,Chicken
16,Garlic
16,Ginger
16,Spring Onion
16,Soy Sauce
16,Vinegar
16,Sesame Oil
16,Salt
16,Oil
17,Garlic
17,Ginger
17,Spring Onion
17,Soy Sauce
17,Vinegar
17,Sesame Oil
17,Salt
17,Oil
18,Pizza Dough
18,Tomato Sauce
18,Mozzarella Cheese
18,Basil
18,Olive Oil
18,Salt
19,Pasta
19,Milk
19,Butter
19,All Purpose Flour
19,Parmesan Cheese
19,Garlic
19,Black Pepper
19,Salt
20,Lasagna Sheets
20,Ground Beef
20,Tomato Sauce
20,Mozzarella Cheese
20,Ricotta Cheese
20,Onion
20,Garlic
20,Italian Herbs
20,Olive Oil
21,Garlic
21,Tomato
21,Olive Oil
21,Basil
21,Parmesan Cheese
21,Italian Herbs
21,Salt
22,Garlic
22,Tomato
22,Olive Oil
22,Basil
22,Parmesan Cheese
22,Italian Herbs
22,Salt
22,Sugar
23,Garlic
23,Tomato
23,Olive Oil
23,Basil
23,Parmesan Cheese
23,Italian Herbs
23,Salt
24,Vegetable Broth
24,Garlic
24,Tomato
24,Olive Oil
24,Basil
24,Parmesan Cheese
24,Italian Herbs
24,Salt
25,Burger Bun
25,Beef Patty
25,Cheddar Cheese
25,Lettuce
25,Tomato
25,Onion
25,Pickles
25,Ketchup
26,Sugar
26,Onion
26,Garlic
26,Black Pepper
26,Cheddar Cheese
26,Butter
26,Salt
26,Oil
26,Eggs
27,Onion
27,Garlic
27,Black Pepper
27,Cheddar Cheese
27,Butter
27,Salt
27,Oil
27,Sugar
28,Onion
28,Garlic
28,Black Pepper
28,Cheddar Cheese
28,Butter
28,Salt
28,Oil
29,Onion
29,Garlic
29,Black Pepper
29,Cheddar Cheese
29,Butter
29,Salt
29,Oil
30,Onion
30,Garlic
30,Black Pepper
30,Cheddar Cheese
30,Butter
30,Salt
30,Oil
30,Milk
31,Chicken
31,Tortilla
31,Lettuce
31,Tomato
31,Onion
31,Cheese
31,Taco Spices
31,Sour Cream
32,Mixed Vegetables
32,Onion
32,Tomato
32,Lime Juice
32,Coriander Leaves
32,Chilli
32,Taco Spices
32,Salt
32,Oil
33,Onion
33,Tomato
33,Lime Juice
33,Coriander Leaves
33,Chilli
33,Taco Spices
33,Salt
33,Oil
34,Onion
34,Tomato
34,Lime Juice
34,Coriander Leaves
34,Chilli
34,Taco Spices
34,Salt
34,Oil
35,Chicken
35,Onion
35,Tomato
35,Lime Juice
35,Coriander Leaves
35,Chilli
35,Taco Spices
35,Salt
35,Oil
36,Onion
36,Tomato
36,Lime Juice
36,Coriander Leaves
36,Chilli
36,Taco Spices
36,Salt
36,Oil
36,Sugar
37,Sushi Rice
37,Nori
37,Salmon
37,Cucumber
37,Avocado
37,Rice Vinegar
37,Soy Sauce
38,Ramen Noodles
38,Chicken Broth
38,Chicken
38,Egg
38,Spring Onion
38,Soy Sauce
38,Garlic
38,Ginger
39,Soy Sauce
39,Ginger
39,Spring Onion
39,Rice Vinegar
39,Sesame Seeds
39,Salt
40,Vegetable Broth
40,Soy Sauce
40,Ginger
40,Spring Onion
40,Rice Vinegar
40,Sesame Seeds
40,Salt
41,Chicken
41,Soy Sauce
41,Mirin
41,Ginger
41,Garlic
41,Honey
41,Sesame Seeds
42,Soy Sauce
42,Ginger
42,Spring Onion
42,Rice Vinegar
42,Sesame Seeds
42,Salt
42,Milk
43,Rice Noodles
43,Shrimp
43,Egg
43,Bean Sprouts
43,Peanuts
43,Tamarind Sauce
43,Fish Sauce
43,Lime
44,Chicken
44,Coconut Milk
44,Green Curry Paste
44,Thai Basil
44,Bamboo Shoots
44,Fish Sauce
44,Sugar
45,Garlic
45,Ginger
45,Coconut Milk
45,Thai Basil
45,Lime Juice
45,Fish Sauce
45,Chilli
45,Oil
46,Vegetable Broth
46,Garlic
46,Ginger
46,Coconut Milk
46,Thai Basil
46,Lime Juice
46,Fish Sauce
46,Chilli
46,Oil
47,Rice
47,Garlic
47,Ginger
47,Coconut Milk
47,Thai Basil
47,Lime Juice
47,Fish Sauce
47,Chilli
47,Oil
47,Sugar
48,Garlic
48,Ginger
48,Coconut Milk
48,Thai Basil
48,Lime Juice
48,Fish Sauce
48,Chilli
48,Oil
48,Milk
49,Rice
49,Chicken
49,Egg
49,Shrimp
49,Sweet Soy Sauce
49,Garlic
49,Chilli
49,Spring Onion
49,Oil
50,Chicken
50,Peanut Sauce
50,Soy Sauce
50,Garlic
50,Ginger
50,Turmeric
50,Coconut Milk
51,Garlic
51,Ginger
51,Chilli
51,Sweet Soy Sauce
51,Coconut Milk
51,Lime
51,Salt
51,Oil
52,Beef
52,Coconut Milk
52,Rendang Spices
52,Lemongrass
52,Galangal
52,Garlic
52,Ginger
52,Chilli
53,Vegetable Broth
53,Garlic
53,Ginger
53,Chilli
53,Sweet Soy Sauce
53,Coconut Milk
53,Lime
53,Salt
53,Oil
54,Garlic
54,Ginger
54,Chilli
54,Sweet Soy Sauce
54,Coconut Milk
54,Lime
54,Salt
54,Oil
54,Milk
55,Rice
55,Beef
55,Spinach
55,Carrot
55,Mushrooms
55,Egg
55,Gochujang
55,Sesame Oil
56,Rice
56,Kimchi
56,Egg
56,Spring Onion
56,Sesame Oil
56,Gochujang
56,Garlic
57,Chicken
57,Garlic
57,Ginger
57,Spring Onion
57,Soy Sauce
57,Sesame Oil
57,Gochujang
57,Salt
58,Garlic
58,Ginger
58,Spring Onion
58,Soy Sauce
58,Sesame Oil
58,Gochujang
58,Salt
59,Garlic
59,Ginger
59,Spring Onion
59,Soy Sauce
59,Sesame Oil
59,Gochujang
59,Salt
60,Garlic
60,Ginger
60,Spring Onion
60,Soy Sauce
60,Sesame Oil
60,Gochujang
60,Salt
60,Sugar
61,Beef
61,Rice Noodles
61,Beef Broth
61,Ginger
61,Onion
61,Star Anise
61,Cinnamon
61,Fish Sauce
61,Basil
62,Baguette
62,Chicken
62,Pickled Carrot
62,Cucumber
62,Coriander Leaves
62,Mayonnaise
62,Soy Sauce
63,Garlic
63,Ginger
63,Fish Sauce
63,Lime Juice
63,Coriander Leaves
63,Chilli
63,Salt
64,Garlic
64,Ginger
64,Fish Sauce
64,Lime Juice
64,Coriander Leaves
64,Chilli
64,Salt
64,Milk
65,Chicken
65,Rice Noodles
65,Chicken Broth
65,Ginger
65,Onion
65,Star Anise
65,Cinnamon
65,Fish Sauce
65,Basil
66,Garlic
66,Ginger
66,Fish Sauce
66,Lime Juice
66,Coriander Leaves
66,Chilli
66,Salt
67,Chicken
67,Yogurt
67,Garlic
67,Cumin
67,Paprika
67,Lemon Juice
67,Pita Bread
67,Tahini
68,Chickpeas
68,Parsley
68,Garlic
68,Onion
68,Cumin
68,Coriander Powder
68,Salt
68,Oil
69,Chickpeas
69,Tahini
69,Lemon Juice
69,Garlic
69,Olive Oil
69,Salt
70,Garlic
70,Lemon Juice
70,Cumin
70,Coriander Powder
70,Parsley
70,Olive Oil
70,Salt
71,Garlic
71,Lemon Juice
71,Cumin
71,Coriander Powder
71,Parsley
71,Olive Oil
71,Salt
71,Sugar
72,Garlic
72,Lemon Juice
72,Cumin
72,Coriander Powder
72,Parsley
72,Olive Oil
72,Salt
72,Milk
73,Cucumber
73,Tomato
73,Feta Cheese
73,Olives
73,Onion
73,Olive Oil
73,Oregano
74,Garlic
74,Lemon Juice
74,Olive Oil
74,Oregano
74,Parsley
74,Salt
75,Garlic
75,Lemon Juice
75,Olive Oil
75,Oregano
75,Parsley
75,Salt
76,Garlic
76,Lemon Juice
76,Olive Oil
76,Oregano
76,Parsley
76,Salt
77,Garlic
77,Lemon Juice
77,Olive Oil
77,Oregano
77,Parsley
77,Salt
78,Garlic
78,Lemon Juice
78,Olive Oil
78,Oregano
78,Parsley
78,Salt
78,Eggs
79,Rice
79,Chicken
79,Shrimp
79,Mussels
79,Saffron
79,Bell Pepper
79,Peas
79,Olive Oil
79,Salt
80,Garlic
80,Onion
80,Paprika
80,Olive Oil
80,Parsley
80,Salt
80,Eggs
81,Garlic
81,Onion
81,Paprika
81,Olive Oil
81,Parsley
81,Salt
82,Garlic
82,Onion
82,Paprika
82,Olive Oil
82,Parsley
82,Salt
83,Garlic
83,Onion
83,Paprika
83,Olive Oil
83,Parsley
83,Salt
83,Sugar
84,Garlic
84,Onion
84,Paprika
84,Olive Oil
84,Parsley
84,Salt
84,Milk
85,All Purpose Flour
85,Butter
85,Milk
85,Sugar
85,Yeast
85,Salt
86,Eggplant
86,Zucchini
86,Tomato
86,Bell Pepper
86,Onion
86,Garlic
86,Olive Oil
86,Herbs
87,Garlic
87,Onion
87,Butter
87,Black Pepper
87,Parsley
87,Salt
88,Vegetable Broth
88,Garlic
88,Onion
88,Butter
88,Black Pepper
88,Parsley
88,Salt
89,Garlic
89,Onion
89,Butter
89,Black Pepper
89,Parsley
89,Salt
89,Sugar
90,Garlic
90,Onion
90,Butter
90,Black Pepper
90,Parsley
90,Salt
90,Milk
91,Garlic
91,Ginger
91,Spring Onion
91,Soy Sauce
91,Vinegar
91,Sesame Oil
91,Salt
91,Oil
92,Garlic
92,Ginger
92,Spring Onion
92,Soy Sauce
92,Vinegar
92,Sesame Oil
92,Salt
92,Oil
93,Vegetable Broth
93,Garlic
93,Ginger
93,Spring Onion
93,Soy Sauce
93,Vinegar
93,Sesame Oil
93,Salt
93,Oil
94,Chicken
94,Garlic
94,Ginger
94,Spring Onion
94,Soy Sauce
94,Vinegar
94,Sesame Oil
94,Salt
94,Oil
95,Rice
95,Garlic
95,Ginger
95,Spring Onion
95,Soy Sauce
95,Vinegar
95,Sesame Oil
95,Salt
95,Oil
96,Pasta
96,Garlic
96,Tomato
96,Olive Oil
96,Basil
96,Parmesan Cheese
96,Italian Herbs
96,Salt
97,Garlic
97,Tomato
97,Olive Oil
97,Basil
97,Parmesan Cheese
97,Italian Herbs
97,Salt
98,Pasta
98,Garlic
98,Tomato
98,Olive Oil
98,Basil
98,Parmesan Cheese
98,Italian Herbs
98,Salt
99,Garlic
99,Tomato
99,Olive Oil
99,Basil
99,Parmesan Cheese
99,Italian Herbs
99,Salt
99,Sugar
100,Garlic
100,Tomato
100,Olive Oil
100,Basil
100,Parmesan Cheese
100,Italian Herbs
100,Salt
100,Sugar
101,Onion
101,Garlic
101,Black Pepper
101,Cheddar Cheese
101,Butter
101,Salt
101,Oil
102,Onion
102,Garlic
102,Black Pepper
102,Cheddar Cheese
102,Butter
102,Salt
102,Oil
103,Onion
103,Garlic
103,Black Pepper
103,Cheddar Cheese
103,Butter
103,Salt
103,Oil
104,Sugar
104,Onion
104,Garlic
104,Black Pepper
104,Cheddar Cheese
104,Butter
104,Salt
104,Oil
105,Onion
105,Garlic
105,Black Pepper
105,Cheddar Cheese
105,Butter
105,Salt
105,Oil
105,Milk
106,Onion
106,Tomato
106,Lime Juice
106,Coriander Leaves
106,Chilli
106,Taco Spices
106,Salt
106,Oil
107,Onion
107,Tomato
107,Lime Juice
107,Coriander Leaves
107,Chilli
107,Taco Spices
107,Salt
107,Oil
108,Rice
108,Onion
108,Tomato
108,Lime Juice
108,Coriander Leaves
108,Chilli
108,Taco Spices
108,Salt
108,Oil
109,Onion
109,Tomato
109,Lime Juice
109,Coriander Leaves
109,Chilli
109,Taco Spices
109,Salt
109,Oil
110,Sugar
110,Onion
110,Tomato
110,Lime Juice
110,Coriander Leaves
110,Chilli
110,Taco Spices
110,Salt
110,Oil
111,Soy Sauce
111,Ginger
111,Spring Onion
111,Rice Vinegar
111,Sesame Seeds
111,Salt
112,Soy Sauce
112,Ginger
112,Spring Onion
112,Rice Vinegar
112,Sesame Seeds
112,Salt
113,Soy Sauce
113,Ginger
113,Spring Onion
113,Rice Vinegar
113,Sesame Seeds
113,Salt
114,Soy Sauce
114,Ginger
114,Spring Onion
114,Rice Vinegar
114,Sesame Seeds
114,Salt
115,Soy Sauce
115,Ginger
115,Spring Onion
115,Rice Vinegar
115,Sesame Seeds
115,Salt
115,Sugar
116,Chicken
116,Garlic
116,Ginger
116,Coconut Milk
116,Thai Basil
116,Lime Juice
116,Fish Sauce
116,Chilli
116,Oil
117,Garlic
117,Ginger
117,Coconut Milk
117,Thai Basil
117,Lime Juice
117,Fish Sauce
117,Chilli
117,Oil
118,Garlic
118,Ginger
118,Coconut Milk
118,Thai Basil
118,Lime Juice
118,Fish Sauce
118,Chilli
118,Oil
119,Vegetable Broth
119,Garlic
119,Ginger
119,Coconut Milk
119,Thai Basil
119,Lime Juice
119,Fish Sauce
119,Chilli
119,Oil
120,Garlic
120,Ginger
120,Coconut Milk
120,Thai Basil
120,Lime Juice
120,Fish Sauce
120,Chilli
120,Oil
120,Sugar
121,Garlic
121,Ginger
121,Chilli
121,Sweet Soy Sauce
121,Coconut Milk
121,Lime
121,Salt
121,Oil
122,Garlic
122,Ginger
122,Chilli
122,Sweet Soy Sauce
122,Coconut Milk
122,Lime
122,Salt
122,Oil
123,Garlic
123,Ginger
123,Chilli
123,Sweet Soy Sauce
123,Coconut Milk
123,Lime
123,Salt
123,Oil
124,Garlic
124,Ginger
124,Chilli
124,Sweet Soy Sauce
124,Coconut Milk
124,Lime
124,Salt
124,Oil
125,Garlic
125,Ginger
125,Chilli
125,Sweet Soy Sauce
125,Coconut Milk
125,Lime
125,Salt
125,Oil
125,Sugar
126,Sugar
126,Garlic
126,Ginger
126,Spring Onion
126,Soy Sauce
126,Sesame Oil
126,Gochujang
126,Salt
127,Beef
127,Soy Sauce
127,Sesame Oil
127,Garlic
127,Ginger
127,Pear
127,Sugar
127,Sesame Seeds
128,Rice
128,Vegetable Broth
128,Sugar
128,Garlic
128,Ginger
128,Spring Onion
128,Soy Sauce
128,Sesame Oil
128,Gochujang
128,Salt
129,Garlic
129,Ginger
129,Spring Onion
129,Soy Sauce
129,Sesame Oil
129,Gochujang
129,Salt
129,Sugar
130,Garlic
130,Ginger
130,Spring Onion
130,Soy Sauce
130,Sesame Oil
130,Gochujang
130,Salt
130,Milk
131,Mixed Vegetables
131,Garlic
131,Lemon Juice
131,Olive Oil
131,Oregano
131,Parsley
131,Salt
132,Chicken
132,Garlic
132,Lemon Juice
132,Olive Oil
132,Oregano
132,Parsley
132,Salt
133,Garlic
133,Lemon Juice
133,Olive Oil
133,Oregano
133,Parsley
133,Salt
134,Garlic
134,Lemon Juice
134,Olive Oil
134,Oregano
134,Parsley
134,Salt
134,Sugar
135,Garlic
135,Lemon Juice
135,Olive Oil
135,Oregano
135,Parsley
135,Salt
135,Milk
136,Fish
136,Garlic
136,Onion
136,Paprika
136,Olive Oil
136,Parsley
136,Salt
137,Garlic
137,Onion
137,Paprika
137,Olive Oil
137,Parsley
137,Salt
137,Eggs
138,Garlic
138,Onion
138,Paprika
138,Olive Oil
138,Parsley
138,Salt
139,Garlic
139,Onion
139,Paprika
139,Olive Oil
139,Parsley
139,Salt
139,Sugar
140,Garlic
140,Onion
140,Paprika
140,Olive Oil
140,Parsley
140,Salt
140,Milk
141,Garlic
141,Onion
141,Butter
141,Black Pepper
141,Parsley
141,Salt
142,Beef
142,Garlic
142,Onion
142,Butter
142,Black Pepper
142,Parsley
142,Salt
143,Garlic
143,Onion
143,Butter
143,Black Pepper
143,Parsley
143,Salt
143,Eggs
144,Garlic
144,Onion
144,Butter
144,Black Pepper
144,Parsley
144,Salt
144,Sugar
145,Sugar
145,Garlic
145,Onion
145,Butter
145,Black Pepper
145,Parsley
145,Salt
146,Chicken
146,Butter
146,Tomato
146,Cream
146,Yogurt
146,Ginger Garlic Paste
146,Garam Masala
146,Biryani Spices
146,Salt
146,Oil
147,Flattened Rice
147,Onion
147,Potato
147,Peanuts
147,Mustard Seeds
147,Curry Leaves
147,Turmeric Powder
147,Lemon Juice
147,Salt
147,Oil
148,Onion
148,Tomato
148,Ginger Garlic Paste
148,Indian Spices
148,Green Chilli
148,Coriander Leaves
148,Salt
148,Oil
149,Onion
149,Tomato
149,Ginger Garlic Paste
149,Indian Spices
149,Green Chilli
149,Coriander Leaves
149,Salt
149,Oil
149,Sugar
150,Onion
150,Tomato
150,Ginger Garlic Paste
150,Indian Spices
150,Green Chilli
150,Coriander Leaves
150,Salt
150,Oil
150,Milk
151,Onion
151,Tomato
151,Ginger Garlic Paste
151,Indian Spices
151,Green Chilli
151,Coriander Leaves
151,Salt
151,Oil
152,Garlic
152,Ginger
152,Spring Onion
152,Soy Sauce
152,Vinegar
152,Sesame Oil
152,Salt
152,Oil
153,Garlic
153,Ginger
153,Spring Onion
153,Soy Sauce
153,Vinegar
153,Sesame Oil
153,Salt
153,Oil
154,Sugar
154,Garlic
154,Ginger
154,Spring Onion
154,Soy Sauce
154,Vinegar
154,Sesame Oil
154,Salt
154,Oil
155,Garlic
155,Ginger
155,Spring Onion
155,Soy Sauce
155,Vinegar
155,Sesame Oil
155,Salt
155,Oil
156,Spaghetti
156,Eggs
156,Parmesan Cheese
156,Pancetta
156,Black Pepper
156,Salt
157,Potatoes
157,All Purpose Flour
157,Eggs
157,Parmesan Cheese
157,Butter
157,Salt
158,Garlic
158,Tomato
158,Olive Oil
158,Basil
158,Parmesan Cheese
158,Italian Herbs
158,Salt
158,Sugar
159,Garlic
159,Tomato
159,Olive Oil
159,Basil
159,Parmesan Cheese
159,Italian Herbs
159,Salt
160,Onion
160,Garlic
160,Black Pepper
160,Cheddar Cheese
160,Butter
160,Salt
160,Oil
161,Onion
161,Garlic
161,Black Pepper
161,Cheddar Cheese
161,Butter
161,Salt
161,Oil
162,Sugar
162,Onion
162,Garlic
162,Black Pepper
162,Cheddar Cheese
162,Butter
162,Salt
162,Oil
163,Onion
163,Garlic
163,Black Pepper
163,Cheddar Cheese
163,Butter
163,Salt
163,Oil
163,Milk
164,Onion
164,Tomato
164,Lime Juice
164,Coriander Leaves
164,Chilli
164,Taco Spices
164,Salt
164,Oil
165,Onion
165,Tomato
165,Lime Juice
165,Coriander Leaves
165,Chilli
165,Taco Spices
165,Salt
165,Oil
165,Milk
166,Soy Sauce
166,Ginger
166,Spring Onion
166,Rice Vinegar
166,Sesame Seeds
166,Salt
167,Soy Sauce
167,Ginger
167,Spring Onion
167,Rice Vinegar
167,Sesame Seeds
167,Salt
168,Soy Sauce
168,Ginger
168,Spring Onion
168,Rice Vinegar
168,Sesame Seeds
168,Salt
168,Sugar
169,Soy Sauce
169,Ginger
169,Spring Onion
169,Rice Vinegar
169,Sesame Seeds
169,Salt
170,Garlic
170,Ginger
170,Coconut Milk
170,Thai Basil
170,Lime Juice
170,Fish Sauce
170,Chilli
170,Oil
171,Rice
171,Garlic
171,Ginger
171,Coconut Milk
171,Thai Basil
171,Lime Juice
171,Fish Sauce
171,Chilli
171,Oil
172,Fish
172,Sugar
172,Garlic
172,Ginger
172,Coconut Milk
172,Thai Basil
172,Lime Juice
172,Fish Sauce
172,Chilli
172,Oil
173,Garlic
173,Ginger
173,Chilli
173,Sweet Soy Sauce
173,Coconut Milk
173,Lime
173,Salt
173,Oil
173,Sugar
174,Garlic
174,Ginger
174,Chilli
174,Sweet Soy Sauce
174,Coconut Milk
174,Lime
174,Salt
174,Oil
175,Rice
175,Nori
175,Carrot
175,Cucumber
175,Spinach
175,Egg
175,Sesame Oil
175,Soy Sauce
176,Pork Belly
176,Garlic
176,Lettuce
176,Sesame Oil
176,Salt
176,Korean Chilli Paste
177,Vegetable Broth
177,Garlic
177,Ginger
177,Spring Onion
177,Soy Sauce
177,Sesame Oil
177,Gochujang
177,Salt
178,Garlic
178,Ginger
178,Fish Sauce
178,Lime Juice
178,Coriander Leaves
178,Chilli
178,Salt
179,Pork
179,Garlic
179,Ginger
179,Fish Sauce
179,Lime Juice
179,Coriander Leaves
179,Chilli
179,Salt
180,Garlic
180,Ginger
180,Fish Sauce
180,Lime Juice
180,Coriander Leaves
180,Chilli
180,Salt
181,Garlic
181,Lemon Juice
181,Cumin
181,Coriander Powder
181,Parsley
181,Olive Oil
181,Salt
181,Eggs
182,Garlic
182,Lemon Juice
182,Cumin
182,Coriander Powder
182,Parsley
182,Olive Oil
182,Salt
183,Garlic
183,Lemon Juice
183,Cumin
183,Coriander Powder
183,Parsley
183,Olive Oil
183,Salt
184,Garlic
184,Lemon Juice
184,Cumin
184,Coriander Powder
184,Parsley
184,Olive Oil
184,Salt
184,Sugar
185,Garlic
185,Lemon Juice
185,Cumin
185,Coriander Powder
185,Parsley
185,Olive Oil
185,Salt
